ID,Producer,Battery,Battery.1,SDate,VP,Sulf,S.Temp,A.Temp,Dens,Temp.Mean,Temp.Roll,Estevan,Weyburn,Oxbow,Yellow Grass North,Melita,Kipling,CrudeType,Unknown,C5,Light_LSB,Light_SW,Medium_LSB,Medium_SW,Midale,Heavy_SW,Heavy_Sour,Crude_Breakdown,Crude_Num,VolumeM3,mth,Net Sulf,Net Dens,Net VP,SS_VP,SS_Dens,SS_Sulf,VP_95_Spec
190,CRESC,05-14-003-01W2,,3/12/2017,96.5,0.888,5.1,-14,821.9,-17.21666667,-15.63809524,-17.3,-17.3,-17,-16.8,-18.9,-16,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,2628.26,3,1918228.202,2160166.894,253627.09,14.39146353,11.77126581,0.042475893,0
191,CRESC,13-13-007-02W2,,3/12/2017,81.9,1.265,25,-14,845.1,-17.21666667,-15.63809524,-17.3,-17.3,-17,-16.8,-18.9,-16,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,4661.34,3,4983212.519,3939298.434,381763.746,0.010178206,2.455286811,0.003552343,0
192,CRESC,02-13-006-06W2,,3/12/2017,95.8,1.518,12,-14,848.2,-17.21666667,-15.63809524,-17.3,-17.3,-17,-16.8,-18.9,-16,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,1407.96,3,1812843.678,1194231.672,134882.568,190.4155169,21.78028681,0.037402967,0
193,CRESC,07-07-006-15W2,,3/12/2017,77.7,2.873,12,-14,871.9,-17.21666667,-15.63809524,-17.3,-17.3,-17,-16.8,-18.9,-16,Crude,0,0,0,0,0,0,1,0,0,Midale,5,6292.73,3,15763091.69,5486631.287,488945.121,171.400464,29.550096,0.06141158,0
194,CRESC,13-29-008-07W2,,3/13/2017,85.3,0.168,29.7,-18,802.6,-17.68,-17.1352381,-17.4,-16.7,0,-16.5,-20,-17.8,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,1638.67,3,220953.0191,1315196.542,139778.551,50.60996061,53.19106291,0.021046633,0
195,CRESC,01-21-001-14W2,,3/13/2017,88.8,0.217,15.4,-18,805.85,-17.68,-17.1352381,-17.4,-16.7,0,-16.5,-20,-17.8,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,19019.34,3,3325901.525,15326735.14,1688917.392,13.06148604,16.34763071,0.009230324,0
196,CRESC,04-08-008-08W2,,3/13/2017,106.4,0.485,3.4,-18,815.3,-17.68,-17.1352381,-17.4,-16.7,0,-16.5,-20,-17.8,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,132627.41,3,52443596.78,108131127.4,14111556.42,195.6062996,29.2332663,0.029558351,0
197,CRESC,09-13-007-11W2,,3/13/2017,94.7,0.499,9.2,-18,812.3,-17.68,-17.1352381,-17.4,-16.7,0,-16.5,-20,-17.8,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,23623.54,3,9575511.369,19189401.54,2237149.238,5.225486038,5.792588337,0.034568263,0
198,CRESC,14-13-001-05W2,,3/13/2017,87.3,0.519,2.8,-18,818.7,-17.68,-17.1352381,-17.4,-16.7,0,-16.5,-20,-17.8,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,20568.14,3,8739511.697,16839136.22,1795598.622,29.22907178,0.053327665,0.026537451,0
199,CRESC,14-27-001-13W2,,3/13/2017,104.93,0.576,13.4,-18,819.8,-17.68,-17.1352381,-17.4,-16.7,0,-16.5,-20,-17.8,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,21566.57,3,10183837.87,17680274.09,2262980.19,149.4165986,1.771368902,0.011215487,0
